amfi_code,alpha,beta
100016,0.03785678824437108,0.03838050159411345
100025,0.04786229021944255,-0.008262850149108651
100033,0.24981207460007154,0.0048732052518674785
101206,0.19588302857820067,0.02568199349766847
101207,0.08739405416437364,0.07427743264675762
101208,0.061036671298096715,-0.0005689963371541357
102885,0.16370099285838013,0.00614626618341948
102886,0.006895044716961614,0.02184055761326859
102887,0.1321195657995199,0.02219632762728272
118632,0.2054891735037691,0.014934193094625858
118633,0.16718831196539002,-0.012540398549296897
118634,0.17678165727412135,-0.023731116524209436
118635,0.11225575942328764,0.011640865329555319
118636,0.0634210583137437,-0.010226331625220927
119092,0.03472206570626613,-0.022807146428032953
119093,0.08708445444670444,0.016915911190254686
119094,0.235060146020265,-0.017954281772731173
119095,0.08074468115047156,0.050987449284272165
119120,0.058704140284248356,0.007393271311569228
119551,0.2073263591371475,0.02351982595140279
119552,0.18662199010568994,0.022325065545349042
119598,0.29685056779371416,-0.07218628873965235
119599,0.036564483226444115,0.04131239794122635
120503,0.18700930948172786,0.009024766998139524
120504,0.21190285331422157,-0.0014352254056581508
120505,0.291907359627426,0.04658464394985258
120506,0.16266498938623947,0.006547250727409751
120507,0.06758354513220986,-0.0015620776330300045
120841,0.06552481408412969,0.03910227005981406
120842,0.0301613726479435,-0.06696831179912612
120843,0.22782802790206255,-0.029015643634811024
120844,0.06427751215247429,0.0009765586451094593
125497,0.17621131692863742,0.025272191021394382
125498,0.11678914817770145,0.006094780769848155
148567,0.25363242404338915,0.016011416505411387
148568,0.22806881533159593,-0.0004083455029817081
148569,0.27656459001034156,-0.008141991617280624
149322,0.12229028166326371,0.023241996881392293
149323,0.2684189448971993,-0.013068369874010532
149324,0.3066399825026621,-0.045973017335975794
